id,partnerid,sessionid,males,females,ageyo,sex,impfa,impba,impku,impam,impin,impcr,impco,imphp,impha,gfattrac,gbattrac,goattrac,gintelligent,gconfident,gkindunder,gambitious,gfunny,gcreative,gpercfunny,prefa,preba,preku,pream,prein,preco,precr,prehp,preha
14000045,14001044,1404,5,5,20.91666667,M,5,5,5,6,6,NA,NA,NA,NA,5,5,5,6,5,7,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000045,14001045,1404,5,5,20.91666667,M,5,5,5,6,6,NA,NA,NA,NA,6,6,NA,6,6,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000051,14001051,1405,3,4,18.83333333,M,6,4,6,5,6,NA,NA,NA,NA,2,3,3,3,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000051,14001052,1405,3,4,18.83333333,M,6,4,6,5,6,NA,NA,NA,NA,6,5,5,4,5,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000051,14001053,1405,3,4,18.83333333,M,6,4,6,5,6,NA,NA,NA,NA,5,4,5,6,6,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000051,14001054,1405,3,4,18.83333333,M,6,4,6,5,6,NA,NA,NA,NA,3,3,4,3,4,4,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000052,14001051,1405,3,4,21.58333333,M,7,6,6,6,5,NA,NA,NA,NA,3,2,3,4,5,5,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000052,14001052,1405,3,4,21.58333333,M,7,6,6,6,5,NA,NA,NA,NA,5,5,5,4,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000052,14001053,1405,3,4,21.58333333,M,7,6,6,6,5,NA,NA,NA,NA,4,3,4,5,4,6,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000052,14001054,1405,3,4,21.58333333,M,7,6,6,6,5,NA,NA,NA,NA,2,3,3,5,3,5,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000053,14001051,1405,3,4,18.33333333,M,5,6,5,3,5,NA,NA,NA,NA,2,3,3,5,5,6,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000053,14001052,1405,3,4,18.33333333,M,5,6,5,3,5,NA,NA,NA,NA,4,5,4,5,6,5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000053,14001053,1405,3,4,18.33333333,M,5,6,5,3,5,NA,NA,NA,NA,3,3,4,6,5,6,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000053,14001054,1405,3,4,18.33333333,M,5,6,5,3,5,NA,NA,NA,NA,3,3,4,6,5,6,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000061,14001061,1406,4,4,18.66666667,M,5,5,5,4,5,NA,NA,NA,NA,4,3,4,6,6,6,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000061,14001062,1406,4,4,18.66666667,M,5,5,5,4,5,NA,NA,NA,NA,3,5,4,6,5,6,7,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000061,14001063,1406,4,4,18.66666667,M,5,5,5,4,5,NA,NA,NA,NA,5,6,6,6,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000061,14001064,1406,4,4,18.66666667,M,5,5,5,4,5,NA,NA,NA,NA,6,5,5,6,6,6,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000062,14001061,1406,4,4,17.91666667,M,6,5,6,5,6,NA,NA,NA,NA,3,3,4,5,5,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000062,14001062,1406,4,4,17.91666667,M,6,5,6,5,6,NA,NA,NA,NA,2,3,3,4,2,5,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000062,14001063,1406,4,4,17.91666667,M,6,5,6,5,6,NA,NA,NA,NA,5,6,6,6,6,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
